sha,name,label,labelnames,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
0001eaa3e2045867d857e6b7c837f3476fb1f659fbe4eda9b1f25af15b132475,BZcheat,174,SMSSend-FakeIns,9,2,3,4,13,0,0,0,0,4,0,2,0,0,0
0003ba3088d1421744dc12fa379d587ad8c24e88a0ef2fb505e7222a0bb1df90,"Трофим-(Сергей-Трофимов) - Московская-песня",160,"SMSFraud- Whiskeyco",6,1,6,2,16,0,0,1,32,4,0,5,0,0,0
00095017ad5357cbcd27cfe9d5bd8ac8a37c119a4ffd1ef8f206515b858ac7d5,obnovlenie_po_Android,156,"sms_fraud- MSACM32",10,3,7,3,15,1,1,1,2,4,0,1,0,1,1
0011add27bf94c99345b2e17fc7e295493356f7045d039ec06df4180558bec58,"Minecraft обои",79,FakeAPP/SMS,5,3,2,1,6,7,4,4,10,6,0,10,0,6,7
0011f518907edbff55e65fb4c33299ce404918e86d61e876dea6ac250151f82e,倾欲视频,41,"Chineseporn 4",32,14,10,11,29,0,0,0,0,0,0,2,0,0,0
00124abd3f0d4660c45f6ee63e5ebbaaf3fbd7b4e5cce523508292e87f9fb6cc,Установка,97,GAGA01SMSSender,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
0013d637877a78391b99a3e1bf3f328f1dad969bf0d57fd26201116b12b65000,"Minecraft Story Mode",8,adecosystems_Mulad.Adware,6,28,3,3,13,6,6,6,12,9,0,93,0,6,8
001492cad515296306de002e1874d6e31257224b6b94e3d904ae172063142f57,OperaMini6.5Android,90,FakeInst_Android/SMSreg.IE,2,5,1,1,4,0,0,0,0,0,0,1,0,0,0
00159295a7a616d27a03f60a546ba5eaa0b6032b92a393e2d37b7c831d80f033,中国移动,153,SMSFraud,7,1,3,2,4,0,0,0,0,0,0,1,0,0,0
0018c4398e85b0ab2129d26c2891cdc62de74d77a0a2e79d8f2de905ff2ddd7b,"talking crayon",125,"MoskowFake App",3,1,1,0,10,0,0,1,8,0,0,1,0,0,0
001adb17254d92c76036676d2bfdbc3e8c9d8ac26c5c2b7583fd040e06b3ae8b,FLVPLayer,156,"sms_fraud- MSACM32",6,4,4,1,13,1,1,1,2,3,0,1,0,1,1
001d35c8a83234d486e0c3ca3301e0bfd7456624bd117c90934d52e24e23ebe0,Qvod快播,41,"Chineseporn 4",32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
002248623ffc3d641e3259b671add202de009cf30a97decf4dd616abc8a68d05,私密快播,41,"Chineseporn 4",40,13,11,11,38,17,8,11,22,57,13,20,0,17,49
