sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
000a90f9ff1561db5b108917216cd44196fefc939c7102c0918ccdd66a9bf396,超级玛丽旗舰版,com.clear.marioeffewdewfwe,67116EB2,8,5,3,3,13,7,3,4,14,88,0,8,0,8,7
0011add27bf94c99345b2e17fc7e295493356f7045d039ec06df4180558bec58,Minecraft обои,com.wMinecraftoboi,533CED25,5,3,2,1,6,7,4,4,10,6,0,10,0,6,7
0011f518907edbff55e65fb4c33299ce404918e86d61e876dea6ac250151f82e,倾欲视频,com.corg.hvul.gadl,6E0365E1,32,14,10,11,29,0,0,0,0,0,0,2,0,0,0
00124abd3f0d4660c45f6ee63e5ebbaaf3fbd7b4e5cce523508292e87f9fb6cc,Установка,ngjvnpslnp.iplhmk,4E4C147D,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
00129f74031a5c052a15d2627e5b564b4e039e7dcb06736a2cf973252bb29e28,Autorun Manager Pro,com.rs.autorun.pro,BFA5A25B50063208,8,2,2,2,15,1,1,1,2,1,0,1,0,1,1
00148704b31ae189e68407d65774b5c65d4ba9d9650fb36d32e8ee738501aed5,ГДЗ Архив,com.android.update,4E868DEC,2,4,0,0,11,0,0,0,0,1,1,1,0,0,0
001492cad515296306de002e1874d6e31257224b6b94e3d904ae172063142f57,OperaMini6.5Android,com.soft.android.appinstaller,4EC55518,2,5,1,1,4,0,0,0,0,0,0,1,0,0,0
0018c4398e85b0ab2129d26c2891cdc62de74d77a0a2e79d8f2de905ff2ddd7b,talking crayon,eu.margaritasoft.firstdevelop,0F9B6690,3,1,1,0,10,0,0,1,8,0,0,1,0,0,0
001adb17254d92c76036676d2bfdbc3e8c9d8ac26c5c2b7583fd040e06b3ae8b,FLVPLayer,com.android.app,4D07731B,6,4,4,1,13,1,1,1,2,3,0,1,0,1,1
001b1dc57014a764a76578f01f14b61b5ea2fcd744e8ea61a0f1029ad29733d1,Install,ru.android.top,4E868DEC,2,4,0,0,11,0,0,0,0,1,0,1,0,0,0
001d35c8a83234d486e0c3ca3301e0bfd7456624bd117c90934d52e24e23ebe0,Qvod快播,com.cplu.odpg.lxxg,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
0022acba78bc1662ab1f59282c1eed1190abd01177e5c0fee90f7c8b62c2f6d9,掌上营业厅,cn.newjob.msgfg,516A7668,6,1,3,1,5,0,0,0,0,0,0,1,2,0,0
0026274b1a88c7546ca546fd7bd87eb1d683591a9fc2e7445fbc263f9c43f1cf,Off Road Racing 3D Android,mujoulouse.qageqjsgeg,518BBDFF,5,1,4,0,12,0,0,0,0,0,20,3,0,0,0
00277f59f229f20320020cafcc18348cbe1b8c6d670c05426223d5d70becdc71,私人影院,com.pdyy.kmww.hlzv,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
00360d0d88ffb5f3f1def2c455665d755b292ed3e176e7310582d6a4e3fb8dfd,Ailatrieuphu,nang.dv,936EACBE07F201DF,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
003663848e97e19e3f34020e663b126054acca1e554f62301b3c428b37c34941,destroygunners2,wdbpiewhmvw.bllatpxkpfi,518BBDFF,4,1,3,0,13,0,0,1,8,0,25,3,0,0,0
003c85ab760b7b21b0c07f5abfb457a750f440885b1c83e50cbc02fda7883ea7,Dota Truyền Kỳ,com.android.mylove.dota,1896FE05,1,1,0,0,5,0,0,0,0,0,0,2,0,0,0
00415f0e6b31f2c7f87c768c0b0e789a2308429e388b45c7b44a47ef9eba657e,CHastnoe_porno_video,com.termate,4FA1A9F1,1,2,0,0,9,0,0,0,0,1,0,1,0,0,0
