sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
000a90f9ff1561db5b108917216cd44196fefc939c7102c0918ccdd66a9bf396,超级玛丽旗舰版,com.clear.marioeffewdewfwe,67116EB2,8,5,3,3,13,7,3,4,14,88,0,8,0,8,7
000f485c786a6b64b4713c08952f32226e21336f2bd231a0d4fe6a84b095d651,三星note专用高清壁纸,com.wallpaper.hdstar21.xinglinxiaosheng,4FD69B77,1,8,0,1,15,9,5,4,12,14,3,4,0,10,11
000f6f0653d3978f079941a0506ab30a2395a2c3eeb39f6b6c603e801e5bc6a7,EVA Puzzle A,com.saubcy.games.puzzle.eva.a,4E50D6AF,1,23,0,0,9,5,2,2,4,0,0,1,0,5,1
00129f74031a5c052a15d2627e5b564b4e039e7dcb06736a2cf973252bb29e28,Autorun Manager Pro,com.rs.autorun.pro,BFA5A25B50063208,8,2,2,2,15,1,1,1,2,1,0,1,0,1,1
00148704b31ae189e68407d65774b5c65d4ba9d9650fb36d32e8ee738501aed5,ГДЗ Архив,com.android.update,4E868DEC,2,4,0,0,11,0,0,0,0,1,1,1,0,0,0
001b1dc57014a764a76578f01f14b61b5ea2fcd744e8ea61a0f1029ad29733d1,Install,ru.android.top,4E868DEC,2,4,0,0,11,0,0,0,0,1,0,1,0,0,0
001cae69b7efb5d99eda7bb12e320e00ce6b9788bde9ddab80ae51f0ba779f17,掌上临汾,com.blue.lfnews,14BA8C47,18,74,5,12,29,8,2,0,0,14,0,8,0,8,9
0022acba78bc1662ab1f59282c1eed1190abd01177e5c0fee90f7c8b62c2f6d9,掌上营业厅,cn.newjob.msgfg,516A7668,6,1,3,1,5,0,0,0,0,0,0,1,2,0,0
0035ff62b0aec2551bebf153774fd790dfbdfae735e4a20d5ada906595d3030d,吞噬天地,com.joyomobile.app.TSXCTZB,4F290853,6,23,1,0,15,0,0,2,32,1,3,9,0,0,0
00360d0d88ffb5f3f1def2c455665d755b292ed3e176e7310582d6a4e3fb8dfd,Ailatrieuphu,nang.dv,936EACBE07F201DF,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
003a3e993a85aa98f46b54f9f3e9c587f8d82d6c432bcd0094276c875036f169,Bun Wars Free,com.fireplusteam.bunsinvasionlite1450841189,7B0044ED,3,4,3,2,14,0,0,0,0,3,0,1,0,0,0
003c85ab760b7b21b0c07f5abfb457a750f440885b1c83e50cbc02fda7883ea7,Dota Truyền Kỳ,com.android.mylove.dota,1896FE05,1,1,0,0,5,0,0,0,0,0,0,2,0,0,0
00415f0e6b31f2c7f87c768c0b0e789a2308429e388b45c7b44a47ef9eba657e,CHastnoe_porno_video,com.termate,4FA1A9F1,1,2,0,0,9,0,0,0,0,1,0,1,0,0,0
0044004bc0bb3f340351c3a290be36cf6036109d60b5416255acc46ad98e5139,SmsManager,com.sms.sys.manager,50263588,10,2,2,3,15,0,0,0,0,2,1,2,0,0,0
0051f1634c04407b90703c858825936874a2b7fbcd8e77c106662f0530c13b01,Android 3.0 Patch,com.gamex.input,4F3F817F,4,1,2,1,9,0,0,0,0,0,0,1,0,0,0
